#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2854 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:43 out:44 type:B dur:2 cpbdur:2 q:44.76 aq:46.00 tex:40894 mv:26806 misc:6244 imb:684 pmb:2264 smb:5212 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:44.76 aq:47.00 tex:13580 mv:14464 misc:5324 imb:157 pmb:1560 smb:6443 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:44.73 aq:42.89 tex:35346 mv:18897 misc:6437 imb:969 pmb:1538 smb:5653 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:44.58 aq:42.72 tex:23242 mv:15876 misc:6362 imb:901 pmb:1298 smb:5961 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:44.76 aq:43.11 tex:64397 mv:27476 misc:6439 imb:1669 pmb:1894 smb:4597 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:44.95 aq:43.39 tex:29042 mv:16945 misc:6373 imb:889 pmb:1390 smb:5881 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:44.92 aq:43.09 tex:43537 mv:24530 misc:6845 imb:1777 pmb:1575 smb:4808 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:44.76 aq:42.53 tex:46159 mv:24235 misc:6126 imb:1690 pmb:1348 smb:5122 d:- ref:0 ;
in:54 out:52 type:P dur:2 cpbdur:2 q:44.68 aq:41.96 tex:136679 mv:42284 misc:5253 imb:4446 pmb:1492 smb:2222 d:- ref:0 ;
in:52 out:53 type:B dur:2 cpbdur:2 q:44.74 aq:45.29 tex:23177 mv:22629 misc:6858 imb:600 pmb:1896 smb:5664 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:44.71 aq:46.06 tex:24185 mv:21681 misc:5918 imb:511 pmb:1755 smb:5894 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:44.55 aq:44.00 tex:39441 mv:18723 misc:6492 imb:688 pmb:1875 smb:5597 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:44.53 aq:41.49 tex:101015 mv:38443 misc:5870 imb:3451 pmb:1556 smb:3153 d:- ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:44.54 aq:44.15 tex:43055 mv:28593 misc:6408 imb:756 pmb:2173 smb:5231 d:- ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:44.55 aq:46.63 tex:12067 mv:14766 misc:5135 imb:178 pmb:1410 smb:6572 d:- ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:44.53 aq:45.35 tex:15797 mv:16221 misc:5446 imb:279 pmb:1552 smb:6329 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:44.52 aq:42.88 tex:53269 mv:24878 misc:6821 imb:1016 pmb:2139 smb:5005 d:- ref:0 ;
in:62 out:61 type:P dur:2 cpbdur:2 q:44.47 aq:42.67 tex:72857 mv:30800 misc:6567 imb:1597 pmb:2145 smb:4418 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:44.50 aq:46.70 tex:11989 mv:13646 misc:5413 imb:119 pmb:1528 smb:6513 d:- ref:0 ;
in:66 out:63 type:P dur:2 cpbdur:2 q:44.57 aq:41.93 tex:101786 mv:40579 misc:5883 imb:3307 pmb:1976 smb:2877 d:- ref:0 ;
in:64 out:64 type:B dur:2 cpbdur:2 q:44.52 aq:44.84 tex:39262 mv:30399 misc:7131 imb:549 pmb:2744 smb:4867 d:- ref:0 ;
in:63 out:65 type:b dur:2 cpbdur:2 q:44.50 aq:46.55 tex:6781 mv:10983 misc:4916 imb:94 pmb:1168 smb:6898 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:44.54 aq:45.90 tex:12218 mv:15618 misc:5820 imb:231 pmb:1562 smb:6367 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:44.36 aq:41.51 tex:26818 mv:20077 misc:6593 imb:833 pmb:1605 smb:5722 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:44.23 aq:42.30 tex:37808 mv:24641 misc:6903 imb:1079 pmb:1868 smb:5213 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:44.31 aq:42.59 tex:54155 mv:26772 misc:7001 imb:1370 pmb:2049 smb:4741 d:- ref:0 ;
in:71 out:70 type:P dur:2 cpbdur:2 q:44.31 aq:42.16 tex:106139 mv:38865 misc:6348 imb:2304 pmb:2562 smb:3294 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:44.31 aq:45.69 tex:11242 mv:14861 misc:5361 imb:179 pmb:1422 smb:6559 d:- ref:0 ;
in:73 out:72 type:P dur:2 cpbdur:2 q:44.09 aq:43.15 tex:52605 mv:26181 misc:6854 imb:967 pmb:2254 smb:4939 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:44.20 aq:47.44 tex:10420 mv:10819 misc:4737 imb:58 pmb:1243 smb:6859 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:43.96 aq:41.63 tex:117565 mv:40440 misc:5347 imb:4044 pmb:1419 smb:2697 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:44.03 aq:44.27 tex:75862 mv:39290 misc:6808 imb:1382 pmb:2603 smb:4175 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:44.06 aq:46.51 tex:14303 mv:17483 misc:6094 imb:162 pmb:1886 smb:6112 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:44.00 aq:45.64 tex:17985 mv:20746 misc:6341 imb:320 pmb:1997 smb:5843 d:- ref:0 ;
in:79 out:78 type:P dur:2 cpbdur:2 q:43.92 aq:41.47 tex:181023 mv:44791 misc:5362 imb:2741 pmb:2579 smb:2840 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:43.94 aq:46.52 tex:16168 mv:18616 misc:5912 imb:201 pmb:1792 smb:6167 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:44.00 aq:42.33 tex:34799 mv:23536 misc:7065 imb:853 pmb:2141 smb:5166 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:43.96 aq:46.31 tex:4207 mv:9613 misc:4332 imb:75 pmb:975 smb:7110 d:- ref:0 ;
in:83 out:82 type:P dur:2 cpbdur:2 q:43.96 aq:43.14 tex:42313 mv:23831 misc:6616 imb:1085 pmb:1850 smb:5225 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:43.98 aq:45.75 tex:5318 mv:9967 misc:4475 imb:64 pmb:1022 smb:7074 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:44.06 aq:42.24 tex:55658 mv:27510 misc:7312 imb:2133 pmb:1770 smb:4257 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:44.00 aq:42.24 tex:74015 mv:33573 misc:6748 imb:2242 pmb:1955 smb:3963 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:43.97 aq:41.31 tex:58981 mv:30900 misc:6663 imb:1917 pmb:1838 smb:4405 d:- ref:0 ;
in:88 out:87 type:P dur:2 cpbdur:2 q:43.88 aq:41.19 tex:45268 mv:29333 misc:7031 imb:2114 pmb:1620 smb:4426 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:43.93 aq:44.36 tex:9563 mv:12878 misc:4999 imb:247 pmb:1124 smb:6789 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:43.69 aq:40.89 tex:180603 mv:52827 misc:3594 imb:5001 pmb:2086 smb:1073 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:43.78 aq:43.24 tex:77738 mv:39477 misc:7081 imb:1578 pmb:2791 smb:3791 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:43.83 aq:44.18 tex:23521 mv:23300 misc:6883 imb:472 pmb:2090 smb:5598 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:43.74 aq:44.83 tex:29285 mv:24041 misc:6554 imb:714 pmb:1886 smb:5560 d:- ref:0 ;
in:94 out:93 type:P dur:2 cpbdur:2 q:43.70 aq:41.52 tex:95655 mv:37494 misc:6483 imb:1608 pmb:2815 smb:3737 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:43.70 aq:45.97 tex:13161 mv:16725 misc:5802 imb:131 pmb:1729 smb:6300 d:- ref:0 ;
in:96 out:95 type:P dur:2 cpbdur:2 q:43.83 aq:41.63 tex:75220 mv:33860 misc:7216 imb:1190 pmb:2925 smb:4045 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:43.76 aq:46.20 tex:8218 mv:12883 misc:5179 imb:79 pmb:1312 smb:6769 d:- ref:0 ;
in:98 out:97 type:P dur:2 cpbdur:2 q:43.88 aq:41.61 tex:52950 mv:29687 misc:6939 imb:1105 pmb:2347 smb:4708 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:43.86 aq:45.17 tex:6949 mv:13731 misc:5320 imb:112 pmb:1348 smb:6700 d:- ref:0 ;
in:100 out:99 type:P dur:2 cpbdur:2 q:43.87 aq:42.07 tex:72585 mv:32738 misc:7269 imb:1716 pmb:2275 smb:4169 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:43.88 aq:45.60 tex:6086 mv:10823 misc:4795 imb:66 pmb:1126 smb:6968 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:43.80 aq:41.71 tex:56850 mv:27567 misc:7255 imb:1178 pmb:2195 smb:4787 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:43.73 aq:42.33 tex:32171 mv:21955 misc:6922 imb:783 pmb:1943 smb:5434 d:- ref:0 ;
in:105 out:103 type:P dur:2 cpbdur:2 q:43.69 aq:41.01 tex:151062 mv:44643 misc:4223 imb:5404 pmb:1148 smb:1608 d:- ref:0 ;
in:103 out:104 type:B dur:2 cpbdur:2 q:43.71 aq:43.85 tex:19028 mv:23908 misc:7016 imb:432 pmb:2153 smb:5575 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:43.70 aq:44.98 tex:28245 mv:25336 misc:6779 imb:573 pmb:2077 smb:5510 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:43.54 aq:41.52 tex:158291 mv:47362 misc:5171 imb:3848 pmb:2169 smb:2143 d:- ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:43.61 aq:44.21 tex:54881 mv:36274 misc:7197 imb:715 pmb:3080 smb:4365 d:- ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:43.65 aq:45.07 tex:14444 mv:17521 misc:5787 imb:216 pmb:1701 smb:6243 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:43.58 aq:45.83 tex:22484 mv:20470 misc:6350 imb:230 pmb:2064 smb:5866 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:43.57 aq:41.78 tex:116092 mv:42053 misc:5695 imb:3826 pmb:1702 smb:2632 d:- ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:43.56 aq:43.18 tex:34958 mv:30016 misc:7514 imb:566 pmb:2644 smb:4950 d:- ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:43.55 aq:45.09 tex:11675 mv:14849 misc:5644 imb:174 pmb:1491 smb:6495 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:43.56 aq:43.94 tex:39462 mv:29969 misc:6825 imb:1040 pmb:2189 smb:4931 d:- ref:0 ;
in:115 out:114 type:P dur:2 cpbdur:2 q:43.63 aq:41.00 tex:150353 mv:47323 misc:5540 imb:3225 pmb:2578 smb:2357 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:43.60 aq:45.41 tex:15898 mv:18239 misc:6351 imb:169 pmb:1961 smb:6030 d:- ref:0 ;
in:117 out:116 type:P dur:2 cpbdur:2 q:43.70 aq:42.31 tex:62331 mv:28863 misc:6814 imb:1135 pmb:2389 smb:4636 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:43.66 aq:45.58 tex:6011 mv:9333 misc:4368 imb:66 pmb:965 smb:7129 d:- ref:0 ;
in:119 out:118 type:P dur:2 cpbdur:2 q:43.61 aq:41.28 tex:82655 mv:36383 misc:6226 imb:3052 pmb:2224 smb:2884 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:43.65 aq:45.57 tex:8547 mv:9740 misc:4873 imb:88 pmb:1125 smb:6947 d:- ref:0 ;
in:122 out:120 type:P dur:2 cpbdur:2 q:43.69 aq:41.18 tex:123664 mv:42738 misc:4662 imb:5141 pmb:1347 smb:1672 d:- ref:0 ;
in:120 out:121 type:B dur:2 cpbdur:2 q:43.64 aq:42.20 tex:42737 mv:33811 misc:7596 imb:795 pmb:2790 smb:4575 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:43.67 aq:44.45 tex:398 mv:689 misc:1297 imb:8 pmb:218 smb:7934 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:43.54 aq:40.75 tex:49502 mv:31668 misc:6966 imb:1918 pmb:1927 smb:4315 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:43.57 aq:41.31 tex:34424 mv:23408 misc:6424 imb:1794 pmb:1264 smb:5102 d:- ref:0 ;
in:125 out:125 type:I dur:2 cpbdur:2 q:40.83 aq:38.42 tex:208472 mv:92797 misc:347 imb:8160 pmb:0 smb:0 d:- ref:;
in:127 out:126 type:P dur:2 cpbdur:2 q:43.70 aq:41.19 tex:108179 mv:43438 misc:5527 imb:3280 pmb:2028 smb:2852 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:43.70 aq:44.72 tex:32612 mv:26662 misc:6102 imb:631 pmb:2095 smb:5434 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:43.62 aq:40.96 tex:82339 mv:34470 misc:7095 imb:1431 pmb:2646 smb:4083 d:- ref:0 ;
in:130 out:129 type:P dur:2 cpbdur:2 q:43.65 aq:40.69 tex:102865 mv:39183 misc:6744 imb:1849 pmb:2715 smb:3596 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:43.63 aq:45.72 tex:8144 mv:12620 misc:5116 imb:72 pmb:1335 smb:6753 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:43.73 aq:41.08 tex:46548 mv:23702 misc:7142 imb:706 pmb:2337 smb:5117 d:- ref:0 ;
in:133 out:132 type:P dur:2 cpbdur:2 q:43.77 aq:41.05 tex:49865 mv:28069 misc:7458 imb:1046 pmb:2314 smb:4800 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:43.75 aq:45.60 tex:5774 mv:8692 misc:4126 imb:68 pmb:882 smb:7210 d:- ref:0 ;
in:135 out:134 type:P dur:2 cpbdur:2 q:43.75 aq:42.06 tex:50727 mv:27044 misc:6677 imb:1064 pmb:2116 smb:4980 d:- ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:43.76 aq:45.81 tex:5017 mv:9855 misc:4328 imb:59 pmb:953 smb:7148 d:- ref:0 ;
in:137 out:136 type:P dur:2 cpbdur:2 q:43.70 aq:41.01 tex:80777 mv:35531 misc:6996 imb:1958 pmb:2377 smb:3825 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:43.73 aq:46.27 tex:13046 mv:15315 misc:5687 imb:147 pmb:1576 smb:6437 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:43.67 aq:41.07 tex:35526 mv:24154 misc:7056 imb:781 pmb:2073 smb:5306 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:43.59 aq:40.77 tex:26454 mv:20470 misc:6732 imb:743 pmb:1642 smb:5775 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:43.55 aq:41.25 tex:29225 mv:21679 misc:6880 imb:844 pmb:1674 smb:5642 d:- ref:0 ;
in:142 out:141 type:P dur:2 cpbdur:2 q:43.46 aq:43.09 tex:66339 mv:32714 misc:7283 imb:1708 pmb:2202 smb:4250 d:- ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:43.51 aq:45.66 tex:12317 mv:14208 misc:5739 imb:156 pmb:1489 smb:6515 d:- ref:0 ;
in:145 out:143 type:P dur:2 cpbdur:2 q:43.40 aq:40.66 tex:139696 mv:44351 misc:3369 imb:6007 pmb:902 smb:1251 d:- ref:0 ;
in:143 out:144 type:B dur:2 cpbdur:2 q:43.44 aq:45.11 tex:46206 mv:30542 misc:7252 imb:732 pmb:2577 smb:4851 d:- ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:43.42 aq:44.68 tex:42674 mv:32196 misc:6962 imb:1012 pmb:2373 smb:4775 d:- ref:0 ;
in:147 out:146 type:P dur:2 cpbdur:2 q:43.31 aq:42.80 tex:57065 mv:29652 misc:6643 imb:2448 pmb:1425 smb:4287 d:- ref:0 ;
